Service,Function,Method,UrlRef,File
"CampaignOpportunityService","detailOpportunityContact","GET","`${urlsApi.campaignOpportunity.detailOpportunityContact}${convertParamsToString(params)}`","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","list","GET","`${urlsApi.campaignOpportunity.list}${convertParamsToString(params)}`","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","listOpportunity","GET","`${urlsApi.campaignOpportunity.listOpportunity}${convertParamsToString(params)}`","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","listViewSale","GET","`${urlsApi.campaignOpportunity.listViewSale}${convertParamsToString(params)}`","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","lstCoyViewer","GET","`${urlsApi.campaignOpportunity.lstCoyViewer}?campaignOpportunityId=${id}`","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","opportunityCheck","GET","`${urlsApi.campaignOpportunity.opportunityCheck}${convertParamsToString(params)}`","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","opportunityContact","POST","urlsApi.campaignOpportunity.opportunityContact","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","OpportunityEformDetail","GET","`${urlsApi.campaignOpportunity.opportunityEformDetail}${convertParamsToString(params)}`","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","OpportunityEformUpdate","POST","urlsApi.campaignOpportunity.opportunityEformUpdate","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","opportunityExchange","GET","`${urlsApi.campaignOpportunity.opportunityExchange}${convertParamsToString(params)}`","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","opportunityProcessDelete","DELETE","`${urlsApi.campaignOpportunity.opportunityProcessDelete}?id=${id}`","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","opportunityProcessUpdate","POST","`${urlsApi.campaignOpportunity.opportunityProcessUpdate}`","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","sendEmail","POST","urlsApi.campaignOpportunity.sendEmail","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","update","POST","urlsApi.campaignOpportunity.update","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","updateBatch","POST","urlsApi.campaignOpportunity.updateBatch","src/services/CampaignOpportunityService.ts"
"CampaignOpportunityService","updateOpportunityExchange","GET","`${urlsApi.campaignOpportunity.updateOpportunityExchange}?id=${id}`","src/services/CampaignOpportunityService.ts"
"CampaignPipelineService","delete","DELETE","`${urlsApi.campaignPipeline.delete}?id=${id}`","src/services/CampaignPipelineService.ts"
"CampaignPipelineService","detail","GET","`${urlsApi.campaignPipeline.detail}?id=${id}`","src/services/CampaignPipelineService.ts"
"CampaignPipelineService","list","GET","`${urlsApi.campaignPipeline.list}${convertParamsToString(params)}`","src/services/CampaignPipelineService.ts"
"CampaignPipelineService","update","POST","urlsApi.campaignPipeline.update","src/services/CampaignPipelineService.ts"
"CampaignService","delete","DELETE","`${urlsApi.campaign.delete}?id=${id}`","src/services/CampaignService.ts"
"CampaignService","detail","GET","`${urlsApi.campaign.detail}?id=${id}`","src/services/CampaignService.ts"
"CampaignService","exportAction","GET","`${urlsApi.campaign.exportAction}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","exportCustomer","GET","`${urlsApi.campaign.exportCustomer}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","exportResult","GET","`${urlsApi.campaign.exportResult}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","list","GET","`${urlsApi.campaign.list}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","listActionScore","GET","`${urlsApi.campaign.listActionScore}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","listConvertRate","GET","`${urlsApi.campaign.convertRate}/${id}/summary`","src/services/CampaignService.ts"
"CampaignService","listDataScoreEmployee","GET","`${urlsApi.campaign.listDataScoreEmployee}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","listDataStep3","GET","`${urlsApi.campaign.listDataStep3}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","listSale","GET","`${urlsApi.campaign.listSale}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","listViewSale","GET","`${urlsApi.campaign.listViewSale}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","statisticApproach","GET","`${urlsApi.campaign.statisticApproach}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","statisticConvertRate","GET","`${urlsApi.campaign.statisticConvertRate}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","statisticSale","GET","`${urlsApi.campaign.statisticSale}${convertParamsToString(params)}`","src/services/CampaignService.ts"
"CampaignService","update","POST","urlsApi.campaign.update","src/services/CampaignService.ts"
"CampaignService","updateConfigSLA","POST","urlsApi.campaign.updateConfigSLA","src/services/CampaignService.ts"
"CampaignService","updateStatus","POST","urlsApi.campaign.updateStatus","src/services/CampaignService.ts"
"CampaignService","updateStep3","POST","urlsApi.campaign.updateStep3","src/services/CampaignService.ts"
"CampaignService","updateStep4","POST","urlsApi.campaign.updateStep4","src/services/CampaignService.ts"
"CancelBiddingPackageService","delete","DELETE","`${urlsApi.cancelBiddingPackage.delete}?id=${id}`","src/services/CancelBiddingPackageService.ts"
"CancelBiddingPackageService","detail","GET","`${urlsApi.cancelBiddingPackage.detail}?id=${id}`","src/services/CancelBiddingPackageService.ts"
"CancelBiddingPackageService","list","GET","`${urlsApi.cancelBiddingPackage.list}${convertParamsToString(params)}`","src/services/CancelBiddingPackageService.ts"
"CancelBiddingPackageService","update","POST","urlsApi.cancelBiddingPackage.update","src/services/CancelBiddingPackageService.ts"
"CardService","delete","DELETE","`${urlsApi.card.delete}?id=${id}`","src/services/CardService.ts"
"CardService","list","GET","`${urlsApi.card.list}${convertParamsToString(params)}`","src/services/CardService.ts"
"CardService","update","POST","urlsApi.card.update","src/services/CardService.ts"
"CardServiceIdApiService","list","GET","`${urlsApi.cardServiceIdApi.list}${convertParamsToString(params)}`","src/services/CardServiceIdApiService.ts"
"CardServiceService","delete","DELETE","`${urlsApi.cardService.delete}?id=${id}`","src/services/CardServiceService.ts"
"CardServiceService","detail","GET","`${urlsApi.cardService.detail}?id=${id}`","src/services/CardServiceService.ts"
"CardServiceService","list","GET","`${urlsApi.cardService.list}${convertParamsToString(params)}`","src/services/CardServiceService.ts"
"CardServiceService","update","POST","urlsApi.cardService.update","src/services/CardServiceService.ts"
"CareerService","delete","DELETE","`${urlsApi.career.delete}?id=${id}`","src/services/CareerService.ts"
"CareerService","list","GET","`${urlsApi.career.list}${convertParamsToString(params)}`","src/services/CareerService.ts"
"CareerService","update","POST","urlsApi.career.update","src/services/CareerService.ts"
"CashbookService","delete","DELETE","`${urlsApi.cashbook.delete}?id=${id}`","src/services/CashbookService.ts"
"CashbookService","detail","GET","`${urlsApi.cashbook.detail}?id=${id}`","src/services/CashbookService.ts"
"CashbookService","export","GET","`${urlsApi.cashbook.export}${convertParamsToString(params)}`","src/services/CashbookService.ts"
"CashbookService","list","GET","`${urlsApi.cashbook.list}${convertParamsToString(params)}`","src/services/CashbookService.ts"
"CashbookService","update","POST","urlsApi.cashbook.update","src/services/CashbookService.ts"
"CategoryProjectService","delete","DELETE","`${urlsApi.categoryProject.delete}?id=${id}`","src/services/CategoryProjectService.ts"
"CategoryProjectService","detail","GET","`${urlsApi.categoryProject.detail}?id=${id}`","src/services/CategoryProjectService.ts"
"CategoryProjectService","list","GET","`${urlsApi.categoryProject.list}${convertParamsToString(params)}`","src/services/CategoryProjectService.ts"
"CategoryProjectService","update","POST","urlsApi.categoryProject.update","src/services/CategoryProjectService.ts"
"CategoryService","delete","DELETE","`${urlsApi.category.delete}?id=${id}`","src/services/CategoryService.ts"
"CategoryService","detail","GET","`${urlsApi.category.detail}?id=${id}`","src/services/CategoryService.ts"
"CategoryService","list","GET","`${urlsApi.category.list}${convertParamsToString(params)}`","src/services/CategoryService.ts"
"CategoryService","update","POST","urlsApi.category.update","src/services/CategoryService.ts"
"CategoryServiceService","delete","DELETE","`${urlsApi.categoryService.delete}?id=${id}`","src/services/CategoryServiceService.ts"
"CategoryServiceService","detail","GET","`${urlsApi.categoryService.detail}?id=${id}`","src/services/CategoryServiceService.ts"
"CategoryServiceService","list","GET","`${urlsApi.categoryService.list}${convertParamsToString(params)}`","src/services/CategoryServiceService.ts"
"CategoryServiceService","update","POST","urlsApi.categoryService.update","src/services/CategoryServiceService.ts"
"ChatBotService","delete","DELETE","`${urlsApi.feedback.delete}?id=${id}`","src/services/ChatBotService.ts"
"ChatBotService","list","GET","`${urlsApi.chatbot.lst}${convertParamsToString(params)}`","src/services/ChatBotService.ts"
"ChatBotService","update","POST","urlsApi.chatbot.update","src/services/ChatBotService.ts"
"CodeService","delete","DELETE","`${urlsApi.codeSequence.delete}?id=${id}`","src/services/CodeService.ts"
"CodeService","detail","GET","`${urlsApi.codeSequence.detail}?id=${id}`","src/services/CodeService.ts"
"CodeService","detailEntity","GET","`${urlsApi.codeSequence.detailEntity}?entityName=${entity}`","src/services/CodeService.ts"
"CodeService","list","GET","`${urlsApi.codeSequence.list}${convertParamsToString(params)}`","src/services/CodeService.ts"
"CodeService","update","POST","urlsApi.codeSequence.update","src/services/CodeService.ts"
"ConfigCodeService","delete","DELETE","`${urlsApi.configCode.delete}?id=${id}`","src/services/ConfigCodeService.ts"
"ConfigCodeService","detail","GET","`${urlsApi.configCode.detail}?id=${id}`","src/services/ConfigCodeService.ts"
"ConfigCodeService","list","GET","`${urlsApi.configCode.list}${convertParamsToString(params)}`","src/services/ConfigCodeService.ts"
"ConfigCodeService","update","POST","urlsApi.configCode.update","src/services/ConfigCodeService.ts"
"ConnectGmailService","checkConnect","POST","`${urlsApi.connectGmail.checkConnect}${convertParamsToString(params)}`","src/services/ConnectGmailService.ts"
"ConnectGmailService","connect","POST","`${urlsApi.connectGmail.connect}${convertParamsToString(params)}`","src/services/ConnectGmailService.ts"
"ContactAttributeService","checkDuplicated","GET","`${urlsApi.contactAttribute.checkDuplicated}${convertParamsToString(params)}`","src/services/ContactAttributeService.ts"
"ContactAttributeService","delete","DELETE","`${urlsApi.contactAttribute.delete}?id=${id}`","src/services/ContactAttributeService.ts"
"ContactAttributeService","list","GET","`${urlsApi.contactAttribute.list}${convertParamsToString(params)}`","src/services/ContactAttributeService.ts"
"ContactAttributeService","listAll","GET","`${urlsApi.contactAttribute.listAll}${convertParamsToString(params)}`","src/services/ContactAttributeService.ts"
"ContactAttributeService","update","POST","urlsApi.contactAttribute.update","src/services/ContactAttributeService.ts"
"ContactExtraInfoService","list","GET","`${urlsApi.contactExtraInfo.list}?contactId=${contactId}`","src/services/ContactExtraInfoService.ts"
"ContactPipelineService","delete","DELETE","`${urlsApi.contactPipeline.delete}?id=${id}`","src/services/ContactPipelineService.ts"
"ContactPipelineService","detail","GET","`${urlsApi.contactPipeline.detail}?id=${id}`","src/services/ContactPipelineService.ts"
"ContactPipelineService","list","GET","`${urlsApi.contactPipeline.list}${convertParamsToString(params)}`","src/services/ContactPipelineService.ts"
"ContactPipelineService","update","POST","urlsApi.contactPipeline.update","src/services/ContactPipelineService.ts"
"ContactService","addContactExchange","POST","urlsApi.contact.addContactExchange","src/services/ContactService.ts"
"ContactService","autoProcess","POST","urlsApi.contact.autoProcess","src/services/ContactService.ts"
"ContactService","contactExchange","GET","`${urlsApi.contact.contactExchange}${convertParamsToString(params)}`","src/services/ContactService.ts"
"ContactService","delete","DELETE","`${urlsApi.contact.delete}?id=${id}`","src/services/ContactService.ts"
"ContactService","deleteContactExchange","DELETE","`${urlsApi.contact.deleteContactExchange}?id=${id}`","src/services/ContactService.ts"
"ContactService","detail","GET","`${urlsApi.contact.detail}?id=${id}`","src/services/ContactService.ts"
"ContactService","downloadFile","GET","`${urlsApi.contact.downloadFile}/${id}/downloadError`","src/services/ContactService.ts"
"ContactService","exAttributes","GET","`${urlsApi.contact.exAttributes}${convertParamsToString(params)}`","src/services/ContactService.ts"
"ContactService","fieldTable","GET","`${urlsApi.contact.fieldTable}${convertParamsToString(params)}`","src/services/ContactService.ts"
"ContactService","list","GET","`${urlsApi.contact.list}${convertParamsToString(params)}`","src/services/ContactService.ts"
"ContactService","numberFieldContact","POST","`${urlsApi.contact.numberFieldContact}${convertParamsToString(params)}`","src/services/ContactService.ts"
"ContactService","update","POST","urlsApi.contact.update","src/services/ContactService.ts"
"ContactService","updateContactExchange","GET","`${urlsApi.contact.updateContactExchange}?id=${id}`","src/services/ContactService.ts"
"ContactStatusService","delete","DELETE","`${urlsApi.contactStatus.delete}?id=${id}`","src/services/ContactStatusService.ts"
"ContactStatusService","detail","GET","`${urlsApi.contactStatus.detail}?id=${id}`","src/services/ContactStatusService.ts"
"ContactStatusService","list","GET","`${urlsApi.contactStatus.list}?pipelineId=${pipelineId}`","src/services/ContactStatusService.ts"
"ContactStatusService","listForContact","GET","`${urlsApi.contactStatus.list}${convertParamsToString(params)}`","src/services/ContactStatusService.ts"
"ContactStatusService","update","POST","urlsApi.contactStatus.update","src/services/ContactStatusService.ts"
"ContractAttachmentService","contractAttachmentDelete","DELETE","`${urlsApi.contractAttachment.contractAttachmentDelete}?id=${id}`","src/services/ContractAttachmentService.ts"
"ContractAttachmentService","contractAttachmentList","GET","`${urlsApi.contractAttachment.contractAttachmentList}${convertParamsToString(params)}`","src/services/ContractAttachmentService.ts"
"ContractAttachmentService","contractAttachmentUpdate","POST","urlsApi.contractAttachment.contractAttachmentUpdate","src/services/ContractAttachmentService.ts"
"ContractAttachmentService","delete","DELETE","`${urlsApi.contractAttachment.delete}?id=${id}`","src/services/ContractAttachmentService.ts"
"ContractAttachmentService","detail","GET","`${urlsApi.contractAttachment.detail}?id=${id}`","src/services/ContractAttachmentService.ts"
"ContractAttachmentService","list","GET","`${urlsApi.contractAttachment.list}${convertParamsToString(params)}`","src/services/ContractAttachmentService.ts"
"ContractAttachmentService","update","POST","urlsApi.contractAttachment.update","src/services/ContractAttachmentService.ts"
"ContractAttributeService","checkDuplicated","GET","`${urlsApi.contractAttribute.checkDuplicated}${convertParamsToString(params)}`","src/services/ContractAttributeService.ts"
"ContractAttributeService","delete","DELETE","`${urlsApi.contractAttribute.delete}?id=${id}`","src/services/ContractAttributeService.ts"
"ContractAttributeService","list","GET","`${urlsApi.contractAttribute.list}${convertParamsToString(params)}`","src/services/ContractAttributeService.ts"
"ContractAttributeService","listAll","GET","`${urlsApi.contractAttribute.listAll}${convertParamsToString(params)}`","src/services/ContractAttributeService.ts"
"ContractAttributeService","update","POST","urlsApi.contractAttribute.update","src/services/ContractAttributeService.ts"
"ContractCategoryService","delete","DELETE","`${urlsApi.contractCategory.delete}?id=${id}`","src/services/ContractCategoryService.ts"
"ContractCategoryService","detail","GET","`${urlsApi.contractCategory.detail}?id=${id}`","src/services/ContractCategoryService.ts"
"ContractCategoryService","list","GET","`${urlsApi.contractCategory.list}${convertParamsToString(params)}`","src/services/ContractCategoryService.ts"
"ContractCategoryService","update","POST","urlsApi.contractCategory.update","src/services/ContractCategoryService.ts"
"ContractEformService","checkDuplicated","GET","`${urlsApi.contractEform.checkDuplicated}${convertParamsToString(params)}`","src/services/ContractEformService.ts"
"ContractEformService","ContractEformDetail","GET","`${urlsApi.contractEform.contractEformDetail}${convertParamsToString(params)}`","src/services/ContractEformService.ts"
"ContractEformService","ContractEformUpdate","POST","urlsApi.contractEform.contractEformUpdate","src/services/ContractEformService.ts"
"ContractEformService","delete","DELETE","`${urlsApi.contractEform.delete}?id=${id}`","src/services/ContractEformService.ts"
"ContractEformService","deleteEformAttribute","DELETE","`${urlsApi.contractEform.deleteEformAttribute}?id=${id}`","src/services/ContractEformService.ts"
"ContractEformService","deleteEformExtraInfo","DELETE","`${urlsApi.contractEform.deleteEformExtraInfo}?id=${id}`","src/services/ContractEformService.ts"
"ContractEformService","detail","GET","`${urlsApi.contractEform.detail}?id=${id}`","src/services/ContractEformService.ts"
"ContractEformService","detailEformAttribute","GET","`${urlsApi.contractEform.detailEformAttribute}?id=${id}`","src/services/ContractEformService.ts"
"ContractEformService","detailEformExtraInfo","GET","`${urlsApi.contractEform.detailEformExtraInfo}?id=${id}`","src/services/ContractEformService.ts"
"ContractEformService","list","GET","`${urlsApi.contractEform.list}${convertParamsToString(params)}`","src/services/ContractEformService.ts"
"ContractEformService","listEformAttribute","GET","`${urlsApi.contractEform.listEformAttribute}${convertParamsToString(params)}`","src/services/ContractEformService.ts"
"ContractEformService","listEformAttributeAll","GET","`${urlsApi.contractEform.listEformAttributeAll}${convertParamsToString(params)}`","src/services/ContractEformService.ts"
"ContractEformService","listEformExtraInfo","GET","`${urlsApi.contractEform.listEformExtraInfo}${convertParamsToString(params)}`","src/services/ContractEformService.ts"
"ContractEformService","update","POST","urlsApi.contractEform.update","src/services/ContractEformService.ts"
"ContractEformService","updateEformAttribute","POST","urlsApi.contractEform.updateEformAttribute","src/services/ContractEformService.ts"
"ContractEformService","updateEformExtraInfo","POST","urlsApi.contractEform.updateEformExtraInfo","src/services/ContractEformService.ts"
"ContractEformService","updateEformExtraInfoPosition","POST","urlsApi.contractEform.updateEformExtraInfoPosition","src/services/ContractEformService.ts"
"ContractExtraInfoService","list","GET","`${urlsApi.contractExtraInfo.list}?contractId=${contractId}`","src/services/ContractExtraInfoService.ts"
"ContractGuaranteeService","autoProcess","POST","urlsApi.contractGuarantee.autoProcess","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","bankDelete","DELETE","`${urlsApi.contractGuarantee.bankDelete}?id=${id}`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","bankList","GET","`${urlsApi.contractGuarantee.bankList}${convertParamsToString(params)}`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","bankUpdate","POST","urlsApi.contractGuarantee.bankUpdate","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","competencyGuaranteeDelete","DELETE","`${urlsApi.contractGuarantee.competencyDelete}?id=${id}`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","competencyGuaranteeList","GET","`${urlsApi.contractGuarantee.competencyList}${convertParamsToString(params)}`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","competencyGuaranteeUpdate","POST","urlsApi.contractGuarantee.competencyUpdate","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","delete","DELETE","`${urlsApi.contractGuarantee.delete}?id=${id}`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","detail","GET","`${urlsApi.contractGuarantee.detail}?id=${id}`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","downloadFile","GET","`${urlsApi.contractGuarantee.downloadFile}/${id}/downloadError`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","exAttributes","GET","`${urlsApi.contractGuarantee.exAttributes}${convertParamsToString(params)}`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","guaranteeTypeDelete","DELETE","`${urlsApi.contractGuarantee.guaranteeTypeDelete}?id=${id}`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","guaranteeTypeList","GET","`${urlsApi.contractGuarantee.guaranteeTypeList}${convertParamsToString(params)}`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","guaranteeTypeUpdate","POST","urlsApi.contractGuarantee.guaranteeTypeUpdate","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","list","GET","`${urlsApi.contractGuarantee.list}${convertParamsToString(params)}`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","numberFieldGuarantee","POST","`${urlsApi.contractGuarantee.numberFieldGuarantee}${convertParamsToString(params)}`","src/services/ContractGuaranteeService.ts"
"ContractGuaranteeService","update","POST","urlsApi.contractGuarantee.update","src/services/ContractGuaranteeService.ts"
"ContractPaymentService","delete","DELETE","`${urlsApi.contractPayment.delete}?id=${id}`","src/services/ContractPaymentService.ts"
"ContractPaymentService","detail","GET","`${urlsApi.contractPayment.detail}?id=${id}`","src/services/ContractPaymentService.ts"
"ContractPaymentService","list","GET","`${urlsApi.contractPayment.list}${convertParamsToString(params)}`","src/services/ContractPaymentService.ts"
"ContractPaymentService","update","POST","urlsApi.contractPayment.update","src/services/ContractPaymentService.ts"
"ContractPipelineService","contractSubPipelineUpdate","POST","urlsApi.contractPipeline.contractSubPipelineUpdate","src/services/ContractPipelineService.ts"
"ContractPipelineService","delete","DELETE","`${urlsApi.contractPipeline.delete}?id=${id}`","src/services/ContractPipelineService.ts"
"ContractPipelineService","detail","GET","`${urlsApi.contractPipeline.detail}?id=${id}`","src/services/ContractPipelineService.ts"
"ContractPipelineService","list","GET","`${urlsApi.contractPipeline.list}${convertParamsToString(params)}`","src/services/ContractPipelineService.ts"
"ContractPipelineService","update","POST","urlsApi.contractPipeline.update","src/services/ContractPipelineService.ts"
"ContractService","addContractExchange","POST","urlsApi.contract.addContractExchange","src/services/ContractService.ts"
"ContractService","autoProcess","POST","urlsApi.contract.autoProcess","src/services/ContractService.ts"
"ContractService","contractAlertList","GET","`${urlsApi.contract.contractAlertList}`","src/services/ContractService.ts"
"ContractService","contractAlertListSpecific","GET","`${urlsApi.contract.contractAlertListSpecific}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","contractAlertSpecific","POST","urlsApi.contract.contractAlertSpecific","src/services/ContractService.ts"
"ContractService","contractAlertUpdate","POST","urlsApi.contract.contractAlertUpdate","src/services/ContractService.ts"
"ContractService","contractAppendixDelete","DELETE","`${urlsApi.contract.contractAppendixDelete}?id=${id}`","src/services/ContractService.ts"
"ContractService","contractAppendixDetail","GET","`${urlsApi.contract.contractAppendixDetail}?contractId=${id}`","src/services/ContractService.ts"
"ContractService","contractAppendixList","GET","`${urlsApi.contract.contractAppendixList}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","contractAppendixUpdate","POST","urlsApi.contract.contractAppendixUpdate","src/services/ContractService.ts"
"ContractService","contractExchange","GET","`${urlsApi.contract.contractExchange}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","delete","DELETE","`${urlsApi.contract.delete}?id=${id}`","src/services/ContractService.ts"
"ContractService","deleteContractExchange","DELETE","`${urlsApi.contract.deleteContractExchange}?id=${id}`","src/services/ContractService.ts"
"ContractService","deleteHandoverProgress","DELETE","`${urlsApi.contract.deleteHandoverProgress}?id=${id}`","src/services/ContractService.ts"
"ContractService","detail","GET","`${urlsApi.contract.detail}?id=${id}`","src/services/ContractService.ts"
"ContractService","detailAlert","GET","`${urlsApi.contract.detailAlert}/${id}/alerts`","src/services/ContractService.ts"
"ContractService","downloadFile","GET","`${urlsApi.contract.downloadFile}/${id}/downloadError`","src/services/ContractService.ts"
"ContractService","exAttributes","GET","`${urlsApi.contract.exAttributes}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","fieldTable","GET","`${urlsApi.contract.fieldTable}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","guaranteeAlertList","GET","`${urlsApi.contract.guaranteeAlertList}`","src/services/ContractService.ts"
"ContractService","guaranteeAlertUpdate","POST","urlsApi.contract.guaranteeAlertUpdate","src/services/ContractService.ts"
"ContractService","list","GET","`${urlsApi.contract.list}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","listCodeService","GET","`${urlsApi.contract.listCodeService}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","listCodeSuggest","GET","`${urlsApi.contract.listCodeSuggest}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","listHandoverProgress","GET","`${urlsApi.contract.listHandoverProgress}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","listSupplier","GET","`${urlsApi.contract.listSupplier}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","logValues","GET","`${urlsApi.contract.logValues}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","numberFieldCustomer","POST","`${urlsApi.contract.numberFieldCustomer}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","reportContractStatus","GET","`${urlsApi.contract.reportContractStatus}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","reportContractValue","GET","`${urlsApi.contract.reportContractContract}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","reportNewContract","GET","`${urlsApi.contract.reportNewContract}${convertParamsToString(params)}`","src/services/ContractService.ts"
"ContractService","sendContract","POST","`${urlsApi.contract.sendContract}`","src/services/ContractService.ts"
"ContractService","sendQuote","POST","`${urlsApi.contract.sendQuote}`","src/services/ContractService.ts"
"ContractService","update","POST","urlsApi.contract.update","src/services/ContractService.ts"
"ContractService","updateAlert","POST","urlsApi.contract.updateAlert","src/services/ContractService.ts"
"ContractService","updateAndInit","POST","urlsApi.contract.updateAndInit","src/services/ContractService.ts"
"ContractService","updateApproach","POST","urlsApi.contract.updateApproach","src/services/ContractService.ts"
"ContractService","updateContractExchange","GET","`${urlsApi.contract.updateContractExchange}?id=${id}`","src/services/ContractService.ts"
"ContractService","updateHandover","POST","urlsApi.contract.updateHandover","src/services/ContractService.ts"
"ContractService","updateHandoverProgress","POST","urlsApi.contract.updateHandoverProgress","src/services/ContractService.ts"
"ContractService","updateStatus","POST","urlsApi.contract.updateStatus","src/services/ContractService.ts"
"ContractService","warrantyAlertList","GET","`${urlsApi.contract.warrantyAlertList}`","src/services/ContractService.ts"
"ContractService","warrantyAlertUpdate","POST","urlsApi.contract.warrantyAlertUpdate","src/services/ContractService.ts"
"ContractStageService","delete","DELETE","`${urlsApi.contractStage.delete}?id=${id}`","src/services/ContractStageService.ts"
"ContractStageService","detail","GET","`${urlsApi.contractStage.detail}?id=${id}`","src/services/ContractStageService.ts"
"ContractStageService","list","GET","`${urlsApi.contractStage.list}?pipelineId=${pipelineId}`","src/services/ContractStageService.ts"
"ContractStageService","update","POST","urlsApi.contractStage.update","src/services/ContractStageService.ts"
"CrmCampaignService","delete","DELETE","`${urlsApi.crmCampaign.delete}?id=${id}`","src/services/CrmCampaignService.ts"
"CrmCampaignService","getList","GET","`${urlsApi.crmCampaign.list}${convertParamsToString(params)}`","src/services/CrmCampaignService.ts"
"CrmCampaignService","update","POST","urlsApi.crmCampaign.update","src/services/CrmCampaignService.ts"
"CrmCareHistoryService","delete","DELETE","`${urlsApi.crmCareHistory.delete}?id=${id}`","src/services/CrmCareHistoryService.ts"
"CrmCareHistoryService","list","GET","`${urlsApi.crmCareHistory.list}${convertParamsToString(params)}`","src/services/CrmCareHistoryService.ts"
"CrmCareHistoryService","update","POST","urlsApi.crmCareHistory.update","src/services/CrmCareHistoryService.ts"
"CustomerAttributeService","checkDuplicated","GET","`${urlsApi.customerAttribute.checkDuplicated}${convertParamsToString(params)}`","src/services/CustomerAttributeService.ts"
"CustomerAttributeService","delete","DELETE","`${urlsApi.customerAttribute.delete}?id=${id}`","src/services/CustomerAttributeService.ts"
"CustomerAttributeService","list","GET","`${urlsApi.customerAttribute.list}${convertParamsToString(params)}`","src/services/CustomerAttributeService.ts"
"CustomerAttributeService","listAll","GET","`${urlsApi.customerAttribute.listAll}`","src/services/CustomerAttributeService.ts"
"CustomerAttributeService","listAll","GET","`${urlsApi.customerAttribute.listAll}?custType=${custType}`","src/services/CustomerAttributeService.ts"
"CustomerAttributeService","update","POST","urlsApi.customerAttribute.update","src/services/CustomerAttributeService.ts"
"CustomerExtraInfoService","list","GET","`${urlsApi.customerExtraInfo.list}?customerId=${customerId}`","src/services/CustomerExtraInfoService.ts"
"CustomerExtraInfoService","list","GET","`${urlsApi.customerExtraInfo.list}?customerId=${customerId}&custType=${custType}`","src/services/CustomerExtraInfoService.ts"
"CustomerFieldService","delete","DELETE","`${urlsApi.customerField.delete}?id=${id}`","src/services/CustomerFieldService.ts"
